name,type,role,company,location_timezone,contact_channel,contact_link,why_fit,active_interviewing,status,last_touch_at,next_action,call_datetime,notes_link
WARM-01,warm,,,,,,,to_contact,,,,
WARM-02,warm,,,,,,,to_contact,,,,
WARM-03,warm,,,,,,,to_contact,,,,
WARM-04,warm,,,,,,,to_contact,,,,
WARM-05,warm,,,,,,,to_contact,,,,
WARM-06,warm,,,,,,,to_contact,,,,
WARM-07,warm,,,,,,,to_contact,,,,
WARM-08,warm,,,,,,,to_contact,,,,
COLD-01,cold,,,,,,,to_contact,,,,
COLD-02,cold,,,,,,,to_contact,,,,
COLD-03,cold,,,,,,,to_contact,,,,
COLD-04,cold,,,,,,,to_contact,,,,
COLD-05,cold,,,,,,,to_contact,,,,
COLD-06,cold,,,,,,,to_contact,,,,
COLD-07,cold,,,,,,,to_contact,,,,
COLD-08,cold,,,,,,,to_contact,,,,
COLD-09,cold,,,,,,,to_contact,,,,
COLD-10,cold,,,,,,,to_contact,,,,
COLD-11,cold,,,,,,,to_contact,,,,
COLD-12,cold,,,,,,,to_contact,,,,
COLD-13,cold,,,,,,,to_contact,,,,
COLD-14,cold,,,,,,,to_contact,,,,
COLD-15,cold,,,,,,,to_contact,,,,
